ID_INST	EduDad	EduMom	floors	walls	sanitary	OverCr	dvd	cellPhone	fridge	washMach	heater	microWave	soundEqui	car	books	SEXO	ZONA	SECTOR	INSE
147189001160	0.0666666666666667	0.0666666666666667	0	0	0.0222222222222222	0.0222222222222222	0	0	0	0	0	0	0	0	0.111111111111111	0	0	0	0
147245000252	0.308411214953271	0.271028037383178	0.0747663551401869	0.0560747663551402	0.0467289719626168	0.0747663551401869	0	0	0	0	0	0	0	0	0.0654205607476635	0	0	0	0
147551000410	0.0655737704918033	0.0983606557377049	0.0163934426229508	0.0163934426229508	0.0327868852459016	0.0327868852459016	0	0	0	0	0	0	0	0	0.0983606557377049	0	0	0	0
147551000801	0.191489361702128	0.170212765957447	0.0212765957446809	0.0425531914893617	0.0212765957446809	0.0212765957446809	0	0	0	0	0	0	0	0	0.0212765957446809	0	0	0	0
147798000081	0.0833333333333333	0	0.0208333333333333	0.0208333333333333	0.0208333333333333	0.0416666666666667	0	0	0	0	0	0	0	0	0	0.0208333333333333	0	0	0
150001000111	0.216867469879518	0.156626506024096	0.0240963855421687	0.0240963855421687	0.0120481927710843	0	0	0	0	0	0	0	0	0	0.036144578313253	0.0120481927710843	0	0	0
150001000189	0.148936170212766	0.106382978723404	0.0425531914893617	0.0425531914893617	0.0425531914893617	0.0531914893617021	0	0	0	0	0	0	0	0	0.0638297872340425	0	0	0	0
150001003081	0.178571428571429	0.0625	0	0	0.00892857142857143	0.00892857142857143	0	0	0	0	0	0	0	0	0.00892857142857143	0	0	0	0
150001004621	0.0869565217391304	0.0869565217391304	0.00869565217391304	0.00869565217391304	0.0173913043478261	0.0347826086956522	0	0	0	0	0	0	0	0	0.0608695652173913	0	0	0	0
150287000555	0.214285714285714	0.125	0.0535714285714286	0.0535714285714286	0.0535714285714286	0.125	0	0	0	0	0	0	0	0	0.125	0	0	0	0
150313000089	0.144067796610169	0.110169491525424	0.0254237288135593	0.00847457627118644	0.0423728813559322	0.0169491525423729	0	0	0	0	0	0	0	0	0.0508474576271186	0	0	0	0
150313000097	0.0684931506849315	0.0547945205479452	0	0	0	0.0410958904109589	0	0	0	0	0	0	0	0	0.0958904109589041	0	0	0	0
150325000254	0.0857142857142857	0.0285714285714286	0	0	0.0571428571428571	0.0285714285714286	0	0	0	0	0	0	0	0	0.0571428571428571	0.0285714285714286	0	0	0
150568001593	0.121546961325967	0.0939226519337017	0.00552486187845304	0.00552486187845304	0.0110497237569061	0.0165745856353591	0	0	0	0	0	0	0	0	0.0497237569060773	0	0	0	0
150573000121	0.10126582278481	0.0506329113924051	0.0379746835443038	0.0253164556962025	0.0506329113924051	0.0632911392405063	0	0	0	0	0	0	0	0	0.113924050632911	0	0	0	0
150606000172	0.11214953271028	0.0934579439252336	0.00934579439252336	0.00934579439252336	0.00934579439252336	0.0186915887850467	0	0	0	0	0	0	0	0	0.0280373831775701	0	0	0	0
152001001153	0.121951219512195	0.0487804878048781	0	0	0	0	0	0	0	0	0	0	0	0	0.0487804878048781	0.024390243902439	0	0	0
152001003008	0.0487804878048781	0.0731707317073171	0.024390243902439	0	0	0	0	0	0	0	0	0	0	0	0.0731707317073171	0	0	0	0
