ENTIDAD	EduDad	EduMom	floors	walls	sanitary	OverCr	dvd	cellPhone	fridge	washMach	heater	microWave	soundEqui	car	books	SEXO	ZONA	SECTOR	INSE
Chía	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142857142857143	0	0	0	0
Chocó	0.26046511627907	0.176744186046512	0.0186046511627907	0.0186046511627907	0.0325581395348837	0.0604651162790698	0	0	0	0	0	0	0	0	0.0930232558139535	0.013953488372093	0	0	0
Ciénaga	0.0545454545454545	0.0545454545454545	0	0	0.0181818181818182	0.0181818181818182	0	0	0	0	0	0	0	0	0.109090909090909	0	0	0	0
Córdoba	0.112052730696798	0.0828625235404896	0.012241054613936	0.0188323917137476	0.0225988700564972	0.0301318267419962	0	0	0	0	0	0	0	0	0.0668549905838041	0.00470809792843691	0	0	0
Cúcuta	0.119402985074627	0.082089552238806	0.00746268656716418	0.00746268656716418	0.00746268656716418	0	0	0	0	0	0	0	0	0	0.0447761194029851	0	0	0	0
Cundinamarca	0.0926108374384236	0.0669950738916256	0.00985221674876847	0.0108374384236453	0.0137931034482759	0.0187192118226601	0	0	0	0	0	0	0	0	0.0541871921182266	0.00295566502463054	0	0	0
Dosquebradas	0.12987012987013	0.0649350649350649	0	0	0	0.00865800865800866	0	0	0	0	0	0	0	0	0.0432900432900433	0.00432900432900433	0	0	0
Duitama	0.09375	0.06640625	0.0078125	0.00390625	0.015625	0.01171875	0	0	0	0	0	0	0	0	0.03125	0.00390625	0	0	0
Envigado	0.222222222222222	0.148148148148148	0.0185185185185185	0	0	0.037037037037037	0	0	0	0	0	0	0	0	0.0185185185185185	0	0	0	0
Facatativá	0.0859375	0.0546875	0.0078125	0	0.0078125	0.015625	0	0	0	0	0	0	0	0	0.046875	0.015625	0	0	0
Girardot	0.125	0.075	0	0.025	0.025	0.025	0	0	0	0	0	0	0	0	0.05	0.025	0	0	0
Girón	0.087431693989071	0.0437158469945355	0.0109289617486339	0	0.00546448087431694	0.00546448087431694	0	0	0	0	0	0	0	0	0.0819672131147541	0	0	0	0
Guainía	0.125	0.125	0.0416666666666667	0	0.0833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Guaviare	0.352941176470588	0.294117647058824	0.117647058823529	0.117647058823529	0.117647058823529	0.117647058823529	0	0	0	0	0	0	0	0	0.176470588235294	0	0	0	0
Huila	0.111635220125786	0.089622641509434	0.0330188679245283	0.0314465408805031	0.0440251572327044	0.0566037735849057	0	0	0	0	0	0	0	0	0.0738993710691824	0.0172955974842767	0	0	0
Ibagué	0.113486842105263	0.0723684210526316	0.0131578947368421	0.00657894736842105	0.0164473684210526	0.0131578947368421	0	0	0	0	0	0	0	0	0.0855263157894737	0	0	0	0
Ipiales	0.0674846625766871	0.0368098159509202	0.0122699386503067	0	0.0184049079754601	0.0122699386503067	0	0	0	0	0	0	0	0	0.0613496932515337	0	0	0	0
Itagüí	0.216358839050132	0.12664907651715	0.0131926121372032	0.0079155672823219	0.0158311345646438	0.0079155672823219	0	0	0	0	0	0	0	0	0.050131926121372	0.00527704485488127	0	0	0
Jamundí	0.0769230769230769	0.0769230769230769	0	0	0	0	0	0	0	0	0	0	0	0	0.0769230769230769	0	0	0	0
La Guajira	0.135076252723312	0.119825708061002	0.00871459694989107	0.0152505446623094	0.0239651416122004	0.0152505446623094	0	0	0	0	0	0	0	0	0.0631808278867102	0	0	0	0
Lorica	0.0769230769230769	0.0923076923076923	0	0.0307692307692308	0.0153846153846154	0.0769230769230769	0	0	0	0	0	0	0	0	0.0615384615384615	0	0	0	0
Magangué	0.104602510460251	0.117154811715481	0.00836820083682008	0.00418410041841004	0.0209205020920502	0.0167364016736402	0	0	0	0	0	0	0	0	0.0627615062761506	0.00836820083682008	0	0	0
Magdalena	0.12792511700468	0.113884555382215	0.0296411856474259	0.0296411856474259	0.0358814352574103	0.046801872074883	0	0	0	0	0	0	0	0	0.0748829953198128	0.0031201248049922	0	0	0
Maicao	0.0555555555555556	0.166666666666667	0	0	0	0.0555555555555556	0	0	0	0	0	0	0	0	0.111111111111111	0	0	0	0
Malambo	0.191176470588235	0.117647058823529	0.0588235294117647	0.0441176470588235	0.0441176470588235	0.0588235294117647	0	0	0	0	0	0	0	0	0.0735294117647059	0	0	0	0
Manizales	0.195652173913043	0.0978260869565217	0.0108695652173913	0.00543478260869565	0	0.0217391304347826	0	0	0	0	0	0	0	0	0.0271739130434783	0	0	0	0
