ID_INST	ENTIDAD	M.CONTROL	PROM.MAT	Fay.GREG	Fay.HT	Fay.Comp
105400000189	Antioquia	ESTIMACIÓN	302	308.007736467705	307.505928263953	307.94683744599
105400000189	Antioquia	ESTIMACIÓN	302	308.007736467705	307.505928263953	307.94683744599
105440000467	Antioquia	ESTIMACIÓN	289	291.863487967019	291.10800596183	291.680465261775
105440000467	Antioquia	ESTIMACIÓN	289	291.863487967019	291.10800596183	291.680465261775
105579000186	Antioquia	ESTIMACIÓN	263	266.911380099276	266.625471294038	266.904825869381
105667000013	Antioquia	ESTIMACIÓN	298	297.335696171442	296.525432110405	297.093959455995
105667000013	Antioquia	ESTIMACIÓN	298	297.335696171442	296.525432110405	297.093959455995
105837003870	Turbo	ESTIMACIÓN	215	218.458041399872	217.567919199725	218.221541113296
105837003870	Turbo	ESTIMACIÓN	215	218.458041399872	217.567919199725	218.221541113296
105837006097	Turbo	ESTIMACIÓN	224	225.037440370793	224.435939945916	224.864969829234
105837006097	Turbo	ESTIMACIÓN	224	225.037440370793	224.435939945916	224.864969829234
105837006097	Turbo	ESTIMACIÓN	224	225.037440370793	224.435939945916	224.864969829234
105837006097	Turbo	ESTIMACIÓN	224	225.037440370793	224.435939945916	224.864969829234
105854000302	Antioquia	ESTIMACIÓN	289	278.138598259639	275.134280776245	277.035945106077
105861000199	Antioquia	ESTIMACIÓN	256	263.935158188606	262.962440352852	263.743678056623
105887000600	Antioquia	ESTIMACIÓN	291	289.514788735978	288.202584603466	289.074828488234
108001000093	Barranquilla	ESTIMACIÓN	280	281.27902860234	280.560985573312	281.050254827586
108001000093	Barranquilla	ESTIMACIÓN	280	281.27902860234	280.560985573312	281.050254827586
108001000824	Barranquilla	ESTIMACIÓN	291	293.710169147797	292.427150327102	293.366590142926
108001000824	Barranquilla	ESTIMACIÓN	291	293.710169147797	292.427150327102	293.366590142926
108001001723	Barranquilla	ESTIMACIÓN	299	304.584038406965	303.014329400493	304.162985805972
108001001723	Barranquilla	ESTIMACIÓN	299	304.584038406965	303.014329400493	304.162985805972
108001002339	Barranquilla	ESTIMACIÓN	268	269.039000518096	265.374555257967	267.846538301604
108001003688	Barranquilla	ESTIMACIÓN	264	269.676934124356	266.84372580721	268.82615580433
108001003734	Barranquilla	ESTIMACIÓN	306	305.940073849521	304.123082521876	305.310919068179
