PERIODO;DANE_ESTABLECIMIENTO;DANE_SEDE;PROM MATEMÁTICA;PROM CIENCIAS SOCIALES;PROM FILOSOFÍA;PROM BIOLOGÍA;PROM QUÍMICA;PROM FÍSICA;PROM NGLÉS;ESTUDIANTES
20131;111001015806;111001015806;51,66666667;48,66666667;43,5;47,16666667;49,33333333;51,16666667;49,16666667;6
20132;213001027020;213001027020;40,68055556;37,08333333;32,02777778;39,08333333;37,625;35,63888889;37,83333333;72
20132;252001003380;252001003380;40,61111111;43,36111111;38,80555556;43,44444444;44,66666667;42,44444444;43,5;36
20132;270418000063;270418000063;42,55882353;41,67647059;39,52941176;43,20588235;42,69117647;43,29411765;40,39705882;68
20131;368307001257;368307001257;46;44,33333333;45;40;43;39,66666667;39,33333333;3
20132;125123000134;125123000134;39,57142857;41,57142857;38,28571429;40,14285714;38,85714286;41,28571429;42,85714286;7
20131;425377076649;425377076649;65;54;48;56;60;57;54;1
20131;354001006572;354001006572;58;43;33;44;47;50;52;1
20131;376109006149;376109006149;35;38;43;42;43;31;29;1
20131;320001000378;320001000378;58;43;46;47;54;40;57;1
20132;311001090637;311001090637;41;50,0625;41,8125;45,8125;46,125;43,1875;43,125;16
20132;163470000291;163470000291;41,80310881;41,30051813;37,80829016;41,81865285;42,45595855;42,49222798;40,51813472;193
20132;183256000633;183256000633;41,53846154;44,70769231;36,87692308;43,27692308;45,76923077;46,75384615;43,12307692;65
20132;219622000077;219622000077;42,66666667;41,88888889;39,11111111;42,11111111;42,11111111;41,55555556;39,88888889;9
20132;276100000518;276100000518;42,54545455;45,3030303;40,57575758;42,60606061;44,66666667;48,57575758;41,36363636;33
20131;376001029746;376001029746;39,44444444;41,55555556;38,88888889;41,44444444;39,77777778;33,88888889;39;9
20132;223001000437;223001000437;39,78571429;42,42857143;40,28571429;41,5;44,57142857;43,85714286;44,14285714;14
20132;219397092111;219397092111;40,85185185;43,37037037;35,85185185;40,18518519;40,81481481;39,59259259;42,40740741;27
20131;308758078081;308758078081;37,75;41,125;38;44,875;40,25;36;38;8
20132;273283000245;273283000245;40,89473684;42,73684211;38,42105263;41,78947368;42,73684211;44,15789474;41,84210526;19
20131;168001002421;168001002421;60,81904762;50,31428571;50,14285714;51,65714286;55,78095238;54,23809524;50,79047619;105
20132;308001006619;308001006619;47,46511628;46,34883721;43,69767442;47;45,8372093;46,6744186;51,39534884;43
20132;311001007403;311001007403;55,97368421;49,76315789;44,63157895;48,84210526;50,21052632;47,44736842;53,65789474;38
20132;163302000294;163302000294;41,57692308;42,83333333;37,82051282;43,43589744;40,55128205;41,14102564;40,03846154;78
20131;354001000370;354001000370;79,33333333;52,33333333;43,66666667;56,66666667;59;60;64,66666667;3
20132;113244000591;113244000591;40,28571429;42,85714286;40,34285714;41,48571429;43,57142857;44,94285714;42,08571429;35
20131;376001025244;376001025244;41,14285714;42,42857143;41;46,14285714;46,71428571;44;47,14285714;7
20131;370708000762;370708000762;59,6;48,6;48,8;49,2;56,4;49,2;51,6;5
20132;311001011109;311001011109;51,94915254;52,84745763;46,96610169;50,72881356;54,79661017;51,45762712;58,18644068;59
20132;111001102172;111001014885;44,74193548;44,87903226;40,05645161;45,84677419;44,81451613;45,06451613;44,45967742;124
20132;311001105685;311001105685;41,09230769;40,20769231;35,46923077;42,41538462;41,14615385;40,93846154;40,04615385;130
20131;308001010462;308001010462;45;36;33;37;39;31;43;1
20131;108436000061;108436000061;42,66666667;36,66666667;26,33333333;41,66666667;40,33333333;33,33333333;38;3
20131;173055000044;173055000044;41,5;40;35,5;44;51,5;38,5;41;2
20131;313001008879;313001008879;42,5;51,5;39,5;42;49,5;45;50,5;2
20132;452001004024;452001004024;42,37037037;44,51851852;40,40740741;45,66666667;44,51851852;45,74074074;42,22222222;27
20132;295001002635;295001002635;40,5;41;45,5;45;48;45,5;36;2
20131;315293000141;315293000141;40;42;33;43,5;42;47;40;2
20132;311001045623;311001045623;47,03571429;45,01785714;39,5;45,05357143;47,75;44,91071429;44,57142857;56
20132;125224000194;125224000194;42,60869565;43,5;38,97826087;43,26086957;41,54347826;41,73913043;40,54347826;46
20131;285010000259;285010000259;69;59;65;59;83;60;83;1
20132;125120000010;125120000010;40,20238095;42,01190476;35,53571429;41,03571429;41,67857143;40,22619048;39,63095238;84
20132;366001003377;366001003377;48,15789474;48,18421053;42,47368421;47,52631579;49,68421053;48,97368421;51,21052632;38
20132;376001028626;376001028626;42,07142857;43,35714286;36;42,64285714;41,07142857;41,92857143;41,42857143;14
20132;105001007889;105001007889;44;45,1372549;40,84313725;44,31372549;45,2745098;44,47058824;45,45098039;51
20131;144078000033;144078000033;37;38,6;36,4;42,2;40,8;32,4;36,8;5
20132;111001109304;111001109304;43,04166667;44,31944444;38,05555556;43,70833333;43,875;43,11111111;41,95833333;72
20131;376001031341;376001031341;63,44827586;51;54,68965517;55,13793103;58,89655172;57,34482759;83,44827586;29
20132;319698002846;319698002846;37,81538462;39,66153846;34,69230769;38,89230769;38,96923077;37,29230769;38,12307692;65
20131;325430000795;325430000795;45;63;53;54;43;45;40;1
20132;308433075930;308433075930;32,54545455;37,54545455;33,81818182;41,09090909;39;32,54545455;35,90909091;11
20132;325175001111;325175001111;43,04545455;45,45454545;39,09090909;46,36363636;46,63636364;45,18181818;44,77272727;22
20132;115790000031;115790000031;47,03846154;46,17307692;40,51923077;45,30769231;45,38461538;46,75;46,98076923;52
20132;241306000150;241306000150;44,63888889;43,47222222;34,41666667;43,33333333;43,83333333;45,52777778;40,36111111;36
20132;311001089221;311001089221;70,5;69,47058824;65,44117647;67,20588235;69,61764706;72,32352941;84,02941176;34
20131;386749000045;386749000045;52,15384615;44,53846154;39,30769231;49;52,30769231;46,92307692;47,76923077;13
20131;125740000346;125740000346;43,90909091;41,81818182;36,09090909;42,90909091;43,72727273;43,81818182;39,45454545;11
20131;376109009296;376109009296;38;36;35;44;45;40;42;1
20131;113836000021;113836000021;33,86206897;40,89655172;31,86206897;40,37931034;37,03448276;37,20689655;37,31034483;29
20132;463594000498;463594000498;46,71428571;46,42857143;48,57142857;44,14285714;45,85714286;52,28571429;46,14285714;7
20132;327491000111;327491000111;39,65116279;39,79069767;32,88372093;38,41860465;38,13953488;39,41860465;38,6744186;43
20131;452110000861;452110000861;45;38;33;44;39;37;35;1
20131;105895001119;105895001119;27;34;12;44;36;40;47;1
20131;305001012181;305001012181;38;39;26;41;39;40;45;1
20132;113657000107;113657000891;38,04;37,04;34,56;39,68;38,24;32,8;37,4;25
20131;311001031584;311001031584;44,22222222;44,81944444;37,84722222;44,86111111;42,90277778;40,69444444;47,51388889;72
20131;176126000066;176126000066;49;51;46;47,42857143;45,85714286;46,28571429;45;7
20131;120001001219;120001001219;48;47,2;41,9;47,1;53,2;50,5;49,3;10
20132;219532001252;219532001252;41,3125;41;35,84375;40,15625;38,84375;39,3125;38,125;32
20131;352001000857;352001000857;49,33333333;47,66666667;37,33333333;42,66666667;47;42,66666667;43,33333333;3
20131;150573000121;150573000121;31;41;48;39;47;43;43;1
20132;550711000002;550350000002;40,24;39,4;35,16;39,12;39,64;36,96;38,6;25
20131;383001001970;383001001970;42;51;56;47;36;0;43;1
20132;115377000015;115377000015;42,5;43,83333333;39,375;43,70833333;42,70833333;45,375;42,66666667;24
20132;219532002020;219532002020;36,2;42,4;37,93333333;43,33333333;42,26666667;41,46666667;41;15
20132;168432000051;168432000051;48,06086957;47,75652174;42,40869565;45,8;48,69565217;46,54782609;43,82608696;115
20131;252399000016;252399000016;44;43;45,75;47,25;43,25;46,25;40,25;4
20132;205837005524;205837005524;40;41,65384615;37,92307692;42,03846154;42,65384615;43,61538462;41,76923077;26
20132;252001002740;252001002740;45,09782609;44,5326087;39,77173913;46,29347826;46,64130435;44,47826087;45,06521739;92
20132;441799000543;441799000543;46,875;46,25;36,5625;44,5625;44,125;45,4375;42,625;16
20132;241791000065;241791000065;47,41176471;46,11764706;36,41176471;46,29411765;50,35294118;47,64705882;44,35294118;17
20132;150251000079;150251000079;42,40322581;43,46774194;38,5;42,62903226;43,32258065;42,82258065;40,98387097;62
20132;273319000841;273319000841;40;38,75;34,03125;39,15625;39,1875;38,1875;39,9375;32
20132;376001016334;376001016334;58,5;57;56;60,5;57;57,5;82,5;2
20131;354498002559;354498002559;43,40909091;42,31818182;38,09090909;45,36363636;40,40909091;40,40909091;40;22
