n;estrato;grado;prueba;NoHoja;establecimiento;enteTerr;municipio;sexo;sector;zona;zonaStab;nivel;disSenso;copietas;weight;score1;score2;score3;score4;score5
36;120391919;5;M;06083428;105001000353;03;05001;2;1;1;1;4;0;0;12;1,80;1,30;1,62;2,00;1,28
36;120391919;5;M;06083429;105001000353;03;05001;1;1;1;1;4;0;0;12;0,63;-0,05;0,07;0,52;0,35
36;120391919;5;M;06083430;105001000353;03;05001;1;1;1;1;4;0;0;12;-0,05;-0,30;-0,49;-0,25;-0,94
36;120391919;5;M;06083432;105001000353;03;05001;2;1;1;1;4;0;0;12;-0,01;-0,12;0,15;-0,08;0,00
41;120391919;5;M;06125492;105001000418;03;05001;1;1;1;1;3;0;0;12;-0,11;-0,22;-0,22;-0,34;-0,53
41;120391919;5;M;06125493;105001000418;03;05001;1;1;1;1;3;0;0;12;0,67;0,66;0,10;0,25;0,62
41;120391919;5;M;06125494;105001000418;03;05001;2;1;1;1;3;0;0;12;0,42;0,67;1,00;1,28;0,40
41;120391919;5;M;06125497;105001000418;03;05001;1;1;1;1;3;0;0;12;0,38;0,92;0,50;0,27;0,45
41;120391919;5;M;06125498;105001000418;03;05001;1;1;1;1;3;0;0;12;0,80;0,88;0,59;0,79;0,39
41;120391919;5;M;06125501;105001000418;03;05001;1;1;1;1;3;0;0;12;0,12;0,05;-0,23;0,03;-0,41
41;120391919;5;M;06125502;105001000418;03;05001;2;1;1;1;3;0;0;12;1,86;1,66;1,55;1,77;0,98
41;120391919;5;M;06125503;105001000418;03;05001;2;1;1;1;3;0;0;12;-0,33;-0,49;-0,80;-0,25;-0,47
41;120391919;5;M;06125504;105001000418;03;05001;1;1;1;1;3;0;0;12;0,38;0,90;0,77;0,02;1,01
41;120391919;5;M;06125506;105001000418;03;05001;1;1;1;1;3;0;0;12;-0,87;-0,25;-0,18;-0,27;-0,08
41;120391919;5;M;06125507;105001000418;03;05001;2;1;1;1;3;0;0;12;-0,31;-0,76;-0,67;-0,77;-0,55
41;120391919;5;M;06125510;105001000418;03;05001;2;1;1;1;3;0;0;12;1,01;0,77;1,10;0,81;1,00
41;120391919;5;M;06125511;105001000418;03;05001;1;1;1;1;3;0;0;12;-0,06;0,62;-0,06;0,24;0,44
41;120391919;5;M;06125512;105001000418;03;05001;1;1;1;1;3;0;0;12;0,35;0,07;-0,14;-0,47;-0,18
41;120391919;5;M;06125513;105001000418;03;05001;1;1;1;1;3;0;0;12;0,69;0,63;0,78;1,15;0,54
41;120391919;5;M;06125516;105001000418;03;05001;1;1;1;1;3;0;0;12;1,12;0,61;0,58;0,34;0,27
41;120391919;5;M;06125517;105001000418;03;05001;1;1;1;1;3;0;0;12;-0,31;0,36;-0,37;-0,12;0,07
41;120391919;5;M;06125520;105001000418;03;05001;1;1;1;1;3;0;0;12;-0,27;-0,53;-0,25;-0,85;-0,87
41;120391919;5;M;06125521;105001000418;03;05001;1;1;1;1;3;0;0;12;-0,45;-0,26;-0,55;-0,84;-0,75
41;120391919;5;M;06125522;105001000418;03;05001;1;1;1;1;3;0;0;12;-0,54;-0,62;-0,72;-0,84;-0,33
41;120391919;5;M;06125523;105001000418;03;05001;1;1;1;1;3;0;0;12;0,20;0,05;0,44;0,60;0,01
41;120391919;5;M;06125525;105001000418;03;05001;2;1;1;1;3;0;0;12;-0,36;0,08;0,18;-0,07;-0,04
41;120391919;5;M;06125526;105001000418;03;05001;2;1;1;1;3;0;0;12;-0,03;0,61;0,10;0,18;0,30
41;120391919;5;M;06125529;105001000418;03;05001;2;1;1;1;3;0;0;12;-0,13;-0,23;-0,37;0,00;-0,61
41;120391919;5;M;06125530;105001000418;03;05001;1;1;1;1;3;0;0;12;1,93;1,93;3,00;2,35;2,43
40;120391919;5;M;06125533;105001000418;03;05001;2;1;1;1;3;0;0;12;-1,51;-1,35;-1,53;-1,70;-0,90
40;120391919;5;M;06125534;105001000418;03;05001;2;1;1;1;3;0;0;12;-0,59;-0,08;-0,44;-0,29;-0,39
40;120391919;5;M;06125537;105001000418;03;05001;1;1;1;1;3;0;0;12;-0,46;-0,55;-0,11;-0,05;-0,51
40;120391919;5;M;06125538;105001000418;03;05001;1;1;1;1;3;0;0;12;-1,01;-1,11;-0,60;-0,73;-1,43
40;120391919;5;M;06125539;105001000418;03;05001;1;1;1;1;3;0;0;12;1,06;1,28;0,63;1,03;0,84
40;120391919;5;M;06125540;105001000418;03;05001;1;1;1;1;3;0;0;12;0,28;0,86;0,67;0,60;1,06
40;120391919;5;M;06125542;105001000418;03;05001;2;1;1;1;3;0;0;12;-0,90;-0,42;-0,40;-0,65;-1,27
40;120391919;5;M;06125543;105001000418;03;05001;1;1;1;1;3;0;0;12;0,82;0,68;0,31;0,47;0,67
40;120391919;5;M;06125546;105001000418;03;05001;2;1;1;1;3;0;0;12;-0,50;-0,67;0,07;-0,40;-0,91
40;120391919;5;M;06125547;105001000418;03;05001;1;1;1;1;3;0;0;12;-0,59;-0,38;0,05;0,15;-0,15
40;120391919;5;M;06125548;105001000418;03;05001;2;1;1;1;3;0;0;12;0,03;-0,50;-0,50;0,06;-0,08
40;120391919;5;M;06125549;105001000418;03;05001;1;1;1;1;3;0;0;12;0,03;-0,74;-0,56;-0,15;-0,52
40;120391919;5;M;06125552;105001000418;03;05001;1;1;1;1;3;0;0;12;-1,34;-1,01;-0,99;-1,19;-1,99
40;120391919;5;M;06125553;105001000418;03;05001;2;1;1;1;3;0;0;12;1,04;0,87;0,20;0,16;0,32
40;120391919;5;M;06125556;105001000418;03;05001;2;1;1;1;3;0;0;12;-0,45;-0,41;-0,19;-0,75;-0,56
40;120391919;5;M;06125557;105001000418;03;05001;1;1;1;1;3;0;0;12;-0,07;-0,78;-0,54;-1,14;-1,10
40;120391919;5;M;06125558;105001000418;03;05001;1;1;1;1;3;0;0;12;-0,32;0,14;0,05;-0,25;-0,08
40;120391919;5;M;06125559;105001000418;03;05001;1;1;1;1;3;0;0;12;-0,64;-0,75;-0,94;-0,55;-0,95
40;120391919;5;M;06125561;105001000418;03;05001;1;1;1;1;3;0;0;12;-1,33;-1,44;-1,63;-1,16;-1,25
40;120391919;5;M;06125562;105001000418;03;05001;1;1;1;1;3;0;0;12;-0,20;-0,45;0,37;-0,26;-0,11
40;120391919;5;M;06125565;105001000418;03;05001;1;1;1;1;3;0;0;12;-0,92;-0,78;-0,62;-0,33;-0,62
40;120391919;5;M;06125566;105001000418;03;05001;1;1;1;1;3;0;0;12;-0,38;-0,49;-0,34;-0,58;-0,54
40;120391919;5;M;06125567;105001000418;03;05001;2;1;1;1;3;0;0;12;0,40;0,39;0,22;0,14;0,53
40;120391919;5;M;06125568;105001000418;03;05001;1;1;1;1;3;0;0;12;1,13;1,38;0,45;1,29;1,03
38;120391919;5;M;06125570;105001000418;03;05001;1;1;1;1;3;0;0;11;-1,52;-1,47;-1,56;-1,34;-1,98
38;120391919;5;M;06125571;105001000418;03;05001;1;1;1;1;3;0;0;11;-1,38;-0,90;-0,78;-0,84;-1,42
38;120391919;5;M;06125574;105001000418;03;05001;1;1;1;1;3;0;0;11;-0,11;-0,12;-0,17;0,21;-0,67
38;120391919;5;M;06125575;105001000418;03;05001;1;1;1;1;3;0;0;11;1,14;0,88;0,78;1,40;1,06
